I,Q,U,V,P,ch5,pk1,pk2,pk3,pk4,fwhm1,fwhm2,fwhm3,fwhm4,proms1,proms2,proms3,proms4,d1,d2,d3,d4,st1,st2,st3,st4,rm1,rm2,rm3,rm4,ku1,ku2,ku3,ku4,sk1,sk2,sk3,sk4,s1,s2,s3,s4,ma1,ma2,ma3,ma4
170.7210,-0.3239,-0.3472,-0.0571,0.4782,213.8621,186.0000,98.0000,282.0000,174.0000,29.0857,7.0000,25.6623,27.5833,87.0000,8.0000,147.0000,60.0000,102.8346,0.4543,0.2417,0.5399,34.6806,0.1445,0.0704,0.1632,174.1484,0.3329,0.3574,0.1770,1.5504,2.0503,3.4607,3.1678,-0.0101,0.6622,-1.3348,-1.2842,1.0201,1.1078,1.0196,1.5748,0.6086,1.6558,0.6957,6.5532
125.4094,0.1720,-0.1902,0.1544,0.2993,189.0741,109.0000,116.0000,113.0000,77.0000,11.0000,2.0000,15.2500,4.0000,12.0000,1.0000,23.0000,2.0000,11.2701,0.1829,0.1205,0.2812,3.7185,0.0574,0.0349,0.0938,125.4625,0.1824,0.1941,0.1778,1.5960,1.7375,2.0013,2.4114,-0.2085,0.1235,-0.0080,-0.8977,1.0004,1.0514,1.0159,1.1176,0.0899,1.0836,0.6360,1.9582
142.0907,0.0058,-0.1385,-0.1182,0.1822,234.9211,161.0000,122.0000,137.0000,111.0000,14.1250,22.4167,19.8500,2.0000,23.0000,27.0000,36.0000,2.0000,38.9061,0.0915,0.1311,0.6399,13.4593,0.0304,0.0477,0.1940,142.7100,0.0308,0.1495,0.2323,1.5969,1.4870,1.4458,2.5174,-0.2857,-0.0574,-0.2506,-0.9620,1.0044,1.1100,1.0535,1.5378,0.2744,3.5632,0.9498,6.2208
126.9006,0.1617,-0.3708,-0.2752,0.4893,200.7419,119.0000,118.0000,105.0000,109.0000,13.3333,10.7500,21.4167,8.0000,24.0000,7.0000,15.0000,1.0000,14.6207,0.1721,0.2307,0.3218,4.0992,0.0482,0.0612,0.0997,126.9647,0.1696,0.3770,0.2936,2.2798,2.2377,3.0214,2.4533,-0.3711,0.2927,-0.8356,-0.9012,1.0005,1.0414,1.0130,1.0610,0.1152,1.0794,0.6238,1.1970
127.4155,-0.0432,-0.2451,-0.1486,0.2898,216.8800,125.0000,98.0000,124.0000,104.0000,8.0000,7.0000,14.2500,15.0000,5.0000,1.0000,20.0000,10.0000,15.2097,0.1505,0.0657,0.1302,5.2537,0.0502,0.0188,0.0427,127.5194,0.0647,0.2454,0.1555,1.6145,2.1692,2.2669,1.8685,-0.3173,0.7709,0.2926,-0.5253,1.0008,1.0938,1.0028,1.0383,0.1194,2.7239,0.2687,0.8862
136.9840,0.1303,-0.3457,-0.4717,0.5991,214.1053,141.0000,128.0000,112.0000,148.0000,15.8750,26.5833,24.6667,17.5500,17.0000,21.0000,29.0000,31.0000,28.2199,0.0768,0.1885,0.4359,9.3105,0.0257,0.0567,0.1591,137.2917,0.1332,0.3481,0.4980,2.1741,1.5223,2.3025,1.3765,-0.7764,0.1708,0.5664,-0.0223,1.0022,1.0186,1.0132,1.0537,0.2062,0.5933,0.5524,0.9496
127.6770,0.1762,-0.2321,-0.0756,0.3010,234.9231,123.0000,124.0000,106.0000,107.0000,8.0000,10.5000,12.2500,4.5000,6.0000,8.0000,9.0000,2.0000,18.1756,0.1590,0.2995,0.3851,6.0306,0.0488,0.1183,0.1375,127.8139,0.1826,0.2622,0.1575,1.5876,2.5155,1.3797,1.5756,-0.1318,0.8817,-0.2512,-0.1567,1.0011,1.0363,1.1152,1.2186,0.1424,0.9185,1.3589,3.4450
126.0296,0.1607,-0.4161,0.1077,0.4589,230.1875,81.0000,118.0000,120.0000,99.0000,4.0000,7.5000,5.5000,4.0000,3.0000,8.0000,3.0000,2.0000,13.0766,0.1348,0.0349,0.2920,4.1834,0.0375,0.0099,0.0969,126.0947,0.1642,0.4163,0.1428,2.2347,3.4774,2.0503,1.6273,-0.6437,-1.2369,0.0925,-0.0606,1.0005,1.0254,1.0003,1.2272,0.1038,0.8554,0.0839,2.9678
132.9179,-0.0122,-0.4809,-0.4650,0.6691,209.2813,125.0000,107.0000,132.0000,148.0000,11.3750,18.0000,19.8750,17.3333,23.0000,8.0000,31.0000,31.0000,26.3459,0.1512,0.1271,0.1487,8.3181,0.0381,0.0314,0.0467,133.1698,0.0389,0.4811,0.4662,1.7893,3.3077,2.5552,1.9120,-0.2604,0.8620,0.0970,-0.3642,1.0019,1.2302,1.0021,1.0049,0.1984,5.5215,0.2649,0.3214
138.8137,-0.1016,-0.4557,-0.5480,0.7199,237.1628,143.0000,104.0000,150.0000,159.0000,17.5000,10.0000,22.7500,21.7500,25.0000,6.0000,43.0000,31.0000,37.4361,0.2481,0.1201,0.2800,11.8729,0.0721,0.0451,0.0837,139.3088,0.1212,0.4587,0.5594,1.7579,2.5018,1.3145,1.9581,-0.2606,0.8273,0.2962,0.2313,1.0036,1.1222,1.0047,1.0111,0.2702,2.5354,0.2636,0.5091
210.0673,-0.1889,-0.3403,-0.6057,0.7199,226.6835,347.0000,185.0000,282.0000,317.0000,34.6250,41.5000,33.9911,36.3000,214.0000,101.0000,167.0000,180.0000,188.3017,0.2754,0.1852,0.8753,61.3911,0.0964,0.0608,0.2368,218.7451,0.1969,0.3458,0.6253,1.6430,1.4215,1.5750,3.0022,0.0703,0.2089,-0.0071,0.9967,1.0413,1.1446,1.0156,1.0793,0.9163,1.7760,0.5484,1.6148
124.9660,0.2347,-0.3506,-0.3247,0.5323,227.9583,117.0000,125.0000,97.0000,117.0000,1.0000,2.0000,12.4167,5.0000,1.0000,2.0000,17.0000,3.0000,11.9408,0.1667,0.0703,0.3924,3.5424,0.0496,0.0223,0.1291,125.0141,0.2401,0.3508,0.3494,2.0912,2.3966,1.8607,1.8304,-0.5062,0.8923,-0.0859,-0.4658,1.0004,1.0211,1.0019,1.0726,0.0956,0.7162,0.2011,1.2504
143.3400,-0.0436,-0.4583,-0.5030,0.6818,235.5588,146.0000,120.0000,155.0000,177.0000,15.7500,10.0000,18.9583,15.1667,28.0000,18.0000,59.0000,52.0000,47.2912,0.2320,0.1097,0.4212,16.4352,0.0683,0.0360,0.1624,144.2516,0.0773,0.4571,0.5247,1.5833,2.7330,1.8543,1.3508,-0.0625,0.9934,-0.4405,-0.0982,1.0064,1.0893,1.0030,1.0500,0.3310,3.4997,0.2410,0.8654
130.8719,0.1491,-0.2330,-0.1420,0.3110,176.5833,142.0000,126.0000,114.0000,112.0000,15.0000,20.0000,12.0000,9.3333,40.0000,18.0000,18.0000,16.0000,23.2565,0.1333,0.1684,0.3003,8.0598,0.0432,0.0534,0.0903,131.1129,0.1558,0.2402,0.1667,1.5041,1.8407,2.1760,1.6841,0.0383,0.6141,-0.7298,-0.1364,1.0018,1.0395,1.0249,1.1780,0.1779,0.9066,0.7270,2.3998
125.0621,0.1534,-0.3698,-0.0087,0.4005,225.2857,93.0000,117.0000,115.0000,99.0000,11.0000,12.5000,11.3333,10.0000,8.0000,9.0000,12.0000,5.0000,12.4643,0.0882,0.0576,0.0973,3.7005,0.0321,0.0188,0.0242,125.1148,0.1564,0.3705,0.0255,1.8655,1.5760,1.8431,2.7094,-0.2474,-0.4974,0.3351,-0.7261,1.0004,1.0209,1.0012,1.3244,0.0997,0.5826,0.1557,6.2982
143.9627,0.1909,-0.1883,0.0168,0.2687,183.3333,139.0000,149.0000,131.0000,121.0000,29.3333,22.7083,23.8667,15.0000,31.0000,35.0000,43.0000,8.0000,45.1974,0.1283,0.3595,0.7663,15.8544,0.0373,0.1096,0.2353,144.8150,0.1971,0.2141,0.2335,1.4750,2.0677,1.5907,2.3694,-0.1089,-0.1136,-0.0705,-0.7114,1.0059,1.0180,1.1597,1.2038,0.3149,0.6691,2.1656,4.6146
